policy,mean_reward,std_reward,mean_compliant_feeders,mean_total_unserved
ppo,-19.631570210444366,2.90339465772648,4.27,28.14408823258788
demand_proportional,-24.605670092681372,2.6742864152930363,4.47,27.753068489116117
priority_based,-27.528850712175867,1.9865963017503692,1.05,34.098208191093384
equal_split,-40.17475614085696,1.8769419443103967,3.0,33.94172057571219
deficit_chasing,-45.466175025663645,1.8792723775951103,0.0,47.22485364636651
