seed,mean_reward,std_reward,n_compliant,fairness,total_unserved_MWh
0,4.50628793723219,0.6182385191926261,4.99,0.9945045761910631,27.93415849420544
1,4.388685136787463,0.82642483195217,4.97,0.993530763482866,28.10182982845724
2,4.268613392633598,0.9179310931866043,4.93,0.9949513714841846,28.253055260001883
3,4.439287842113082,0.8472733175677787,4.98,0.9931195221056863,28.001825269536315
