Month,days_in_month,hours_in_month,supply_received_MWh,demand_billed_MWh,supply_avg_MWh_per_hour,demand_avg_MWh_per_hour,billing_efficiency
2022-10,31,744,343000.0,302000.0,461.02150537634407,405.9139784946237,0.880466472303207
2022-11,30,720,365000.0,327000.0,506.94444444444446,454.1666666666667,0.8958904109589041
2022-12,31,744,406000.0,363000.0,545.6989247311828,487.9032258064516,0.8940886699507389
