business_unit,n_feeder_slots,mean_band_priority,total_cap,total_weight
IKEJA BU,65,4.369230769230769,55613.22222222222,0.224305832319167
SHOMOLU BU,71,3.9577464788732395,46511.38888888889,0.18759524048714257
OSHODI BU,68,2.8676470588235294,29007.666666666668,0.11699715562792344
AKOWONJO BU,60,3.1166666666666667,23275.166666666668,0.09387615791569548
IKORODU BU,48,2.6458333333333335,17017.333333333332,0.06863632360544623
ABULE-EGBA BU,40,3.225,14074.555555555555,0.05676716385532059
