band,n_feeders,band_priority,committed_hours_per_day,mean_cap,median_cap,total_cap_q4,sum_demand_weight,mean_interruptions_per_day,mean_interruption_duration_hours
A,107,5,20.88785046728972,854.1858974358973,866.5,111516.0,0.36863679534344634,1.7337894736842105,8.567850877192983
A - Bilateral,21,5,20.904761904761905,924.0588235294117,946.3333333333334,41028.0,0.07826749251470376,1.3242105263157895,8.000277777777777
B,80,4,16.875,705.793427230047,733.6666666666666,140279.0,0.22773516917633066,5.195857142857142,8.496087301587302
C,134,3,12.850746268656716,441.3595800524934,383.0,158357.0,0.23853925767970716,6.333771929824561,8.735002436647173
D,68,2,8.897058823529411,306.41530054644807,288.0,54090.0,0.08403919188468777,6.4731147540983605,16.84344717668488
E,4,1,5.0,172.44444444444446,180.0,1552.0,0.002782093401124411,6.72,5.479513888888889
